,Nitrogênio,Fósforo,Potássio,Calcário,Micronutrientes,Herbicidas,Inseticidas,Bioestimulantes
Janeiro,30.0,7.5,15.0,0.0,1.5,0.0,0.0,0.75
Fevereiro,30.0,7.5,15.0,0.0,1.5,0.0,0.0,0.75
Março,37.5,7.5,22.5,0.0,1.5,0.0,0.0,0.75
Abril,37.5,0.0,22.5,0.0,1.5,7.5,3.75,0.75
Maio,22.5,0.0,15.0,0.0,1.5,7.5,3.75,0.75
Junho,15.0,0.0,7.5,0.0,1.5,0.0,0.0,0.75
Julho,7.5,0.0,0.0,30.0,1.5,0.0,0.0,0.75
Agosto,7.5,0.0,0.0,30.0,1.5,7.5,3.75,0.75
Setembro,0.0,0.0,7.5,0.0,1.5,7.5,0.0,0.75
Outubro,15.0,7.5,22.5,0.0,1.5,7.5,3.75,0.75
Novembro,30.0,7.5,30.0,0.0,1.5,0.0,3.75,0.75
Dezembro,30.0,7.5,30.0,0.0,1.5,0.0,0.0,0.75
